,Imagem,Nome,Quantidade necessária,Estação,Tempo de crescimento,Notas,Necessário para:
0,,Chirívia,2,Primavera,4 Dias,,Sopa de chirívia  (1)  Almoço de fazendeiro  (1)
1,,Couve,2,Primavera,6 Dias,Colha com  Foice,Jantar de salmão  (1)  Refogado  (1)
2,,Batata,2,Primavera,6 Dias,Tem 20% de chance de gerar batatas extras,Batata-palha  (2x1)
3,,Jasmim-azul,1,Primavera,7 Dias,,Almoço da sorte  (1)
4,,Vagem,2,Primavera,10 Dias,Cresce em treliças. Continua produzindo a cada 3 dias após a primeira colheita.,Pote de feijão  (2)
5,,Couve-flor,1,Primavera,12 Dias,Pode se tornar uma  lavoura gigante,Couve-flor com queijo  (1)
6,,Ruibarbo,1,Primavera,13 Dias,Sementes disponíveis no  Oásis,Torta de ruibarbo  (1)
7,,Alho,2,Primavera,4 Dias,Disponível a partir do Ano 2,Risoto de samambaia  (1)  Escargô  (1)
8,,Pimenta quente,3,Verão,5 Dias,Continua produzindo a cada 3 dias após a primeira colheita.,Enroladinhos de pimenta  (1)  Enguia picante  (1)  Curry Tropical  (1)
9,,Rabanete,2,Verão,6 Dias,,Prato vermelho  (1)  Salada de rabanete  (1)
10,,Papoula,1,Verão,7 Dias,,Bolinho de papoula  (1)
11,,Tomate,8,Verão,11 Dias,Continua produzindo a cada 4 dias após a primeira colheita.,Mexido de legumes  (1)  Pizza  (1)  Espaguete  (1)  Parmesão com berinjela  (1)  Brusqueta  (1)  Guisado de peixe  (1)  Coquetel de Camarão  (1)  Ravioli de Tinta de Lula  (1)
12,,Melão,2,Verão,12 Dias,Pode se tornar uma  lavoura gigante,Bolo rosa  (1)  Salada de frutas  (1)
13,,Mirtilo,2,Verão,13 Dias,Produz múltiplos mirtilos a cada colheita. Continua produzindo a cada 4 dias após a primeira colheita.,Torta de Mirtilo  (1)  Salada de frutas  (1)
14,,Milho,2,Verão  /  Outono,14 Dias,Continua produzindo a cada 4 dias após a primeira colheita.,Tortilha  (2x1)
15,,Repolho roxo,3,Verão,9 Dias,Disponível a partir do Ano 2,Taco de peixe  (1)  Prato vermelho  (1)  Salada de repolho  (1)
16,,Couve chinesa,1,Outono,4 Dias,,Superprato  (1)
17,,Berinjela,2,Outono,5 Dias,Continua produzindo a cada 5 dias após a primeira colheita.,Parmesão com berinjela  (1)  Hambúrguer de sobreviência  (1)
18,,Amaranto,1,Outono,7 Dias,Colha com  Foice,Jantar de salmão  (1)
19,,Oxicoco,4,Outono,7 Dias,Produz 2 Oxicocos a cada colheita. Continua produzindo a cada 5 dias após a primeira colheita.,Superprato  (1)  Molho de oxicoco  (1)  Recheio  (1)  Doce de oxicoco  (1)
20,,Inhame,2,Outono,10 Dias,,Inhames com cobertura  (1)  Prato de outono  (1)
21,,Abóbora,3,Outono,13 Dias,Pode se tornar uma  lavoura gigante,Prato de outono  (1)  Sopa de abóbora  (1)  Torta de abóbora  (1)
22,,Beterraba,1,Outono,6 Dias,Sementes disponíveis no  Oásis,Mexido de legumes  (1)
23,,Alcachofra,2,Outono,8 Dias,Disponíveis a partir do Ano 2,Superprato  (1)  Molho de alcachofra  (1)
24,,Abacaxi,1,Verão,14 Dias,Continua produzindo a cada 7 dias após a primeira colheita.,Curry Tropical  (1)
25,,Inhame-coco,4,Verão,10 Dias,"Se plantado perto de um corpo d'água demorará apenas 7 dias para crescer, nessas condições não precisa ser regado.",Poi  (4)
