Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Abacaxi  Comerciante da Ilha  :  Cogumelo de Magma  (1),3 dias,3 dias,4 dias,3 dias,Total: 14 dias,"≈  32,14 ouros  /d",300 ouros  375 ouros  450 ouros  600 ouros,138  62  193  86  248  111  358  161,Curry Tropical,Especial,Sementes de Abacaxi,Comerciante da Ilha  :  Cogumelo de Magma  (1),32.14
Sementes de Abacaxi  Comerciante da Ilha  :  Cogumelo de Magma  (1),,300 ouros,138  62  193  86  248  111  358  161,Curry Tropical,,,,,,Especial,,,32.14
,375 ouros,,,,,,,,,Especial,,,32.14
,450 ouros,,,,,,,,,Especial,,,32.14
,600 ouros,,,,,,,,,Especial,,,32.14
,138,,62,,,,,,,Especial,,,32.14
,193,,86,,,,,,,Especial,,,32.14
,248,,111,,,,,,,Especial,,,32.14
,358,,161,,,,,,,Especial,,,32.14
1 dia,3 dias,3 dias,4 dias,3 dias,Total: 14 dias,"≈  32,14 ouros  /d",,,,Especial,,,32.14
