,Image,Nome,Descrição,Preço,Pescador (+25%),Mestre Pescador (+50%),Local,Hora,Estação,Clima,Tamanho (cm),Comportamento,EXP Base
0,,Peixe-carmim,"Vive nas profundezas do oceano, mas gosta de colocar seus ovos nas águas quentes de verão.",1 500 ouros  1 875 ouros  2 250 ouros  3 000 ouros,1 875 ouros  2 343 ouros  2 812 ouros  3 750 ouros,2 250 ouros  2 812 ouros  3 375 ouros  4 500 ouros,Encontrado no pier leste na  Praia  . Requer nível 5 de pesca.,Qualquer,Verão,Qualquer,48-53,95 misto,170.0
1,,1 500 ouros,,,,,,,,,,,
2,,1 875 ouros,,,,,,,,,,,
3,,2 250 ouros,,,,,,,,,,,
4,,3 000 ouros,,,,,,,,,,,
5,,1 875 ouros,,,,,,,,,,,
6,,2 343 ouros,,,,,,,,,,,
7,,2 812 ouros,,,,,,,,,,,
8,,3 750 ouros,,,,,,,,,,,
9,,2 250 ouros,,,,,,,,,,,
10,,2 812 ouros,,,,,,,,,,,
11,,3 375 ouros,,,,,,,,,,,
12,,4 500 ouros,,,,,,,,,,,
13,,Tamboril,Utiliza uma isca bioluminescente para atrair sua presa.,900 ouros  1 125 ouros  1 350 ouros  1 800 ouros,1 125 ouros  1 406 ouros  1 687 ouros  2 250 ouros,1 350 ouros  1 687 ouros  2 025 ouros  2 700 ouros,Ao norte do  Mercado Joja  na ponte de madeira. Requer nível 3 de pesca.,Qualquer,Outono,Qualquer,43-46,85 suave,155.0
14,,900 ouros,,,,,,,,,,,
15,,1 125 ouros,,,,,,,,,,,
16,,1 350 ouros,,,,,,,,,,,
17,,1 800 ouros,,,,,,,,,,,
18,,1 125 ouros,,,,,,,,,,,
19,,1 406 ouros,,,,,,,,,,,
20,,1 687 ouros,,,,,,,,,,,
21,,2 250 ouros,,,,,,,,,,,
22,,1 350 ouros,,,,,,,,,,,
23,,1 687 ouros,,,,,,,,,,,
24,,2 025 ouros,,,,,,,,,,,
25,,2 700 ouros,,,,,,,,,,,
26,,Lenda,O rei de todos os peixes! Disseram que jamais seria capturada.,5 000 ouros  6 250 ouros  7 500 ouros  10 000 ouros,6 250 ouros  7 812 ouros  9 375 ouros  12 500 ouros,7 500 ouros  9 375 ouros  11 250 ouros  15 000 ouros,Encontrado no  lago da montanha  . Maiores chance de morder perto do tronco no fundo. Requer pesca nível 10.,Qualquer,Primavera,Chuva,124-127,110 misto,195.0
27,,5 000 ouros,,,,,,,,,,,
28,,6 250 ouros,,,,,,,,,,,
29,,7 500 ouros,,,,,,,,,,,
30,,10 000 ouros,,,,,,,,,,,
31,,6 250 ouros,,,,,,,,,,,
32,,7 812 ouros,,,,,,,,,,,
33,,9 375 ouros,,,,,,,,,,,
34,,12 500 ouros,,,,,,,,,,,
35,,7 500 ouros,,,,,,,,,,,
36,,9 375 ouros,,,,,,,,,,,
37,,11 250 ouros,,,,,,,,,,,
38,,15 000 ouros,,,,,,,,,,,
39,,Peixe-gelo,Constrói um ninho na parte inferior das geleiras.,1 000 ouros  1 250 ouros  1 500 ouros  2 000 ouros,1 250 ouros  1 562 ouros  1 875 ouros  2 500 ouros,1 500 ouros  1 875 ouros  2 250 ouros  3 000 ouros,Ao sul da Ilha Cabeça de Flecha na  Floresta Cinzaseiva  . Requer pesca nível 6.,Qualquer,Inverno,Qualquer,66-71,100 misto,180.0
40,,1 000 ouros,,,,,,,,,,,
41,,1 250 ouros,,,,,,,,,,,
42,,1 500 ouros,,,,,,,,,,,
43,,2 000 ouros,,,,,,,,,,,
44,,1 250 ouros,,,,,,,,,,,
45,,1 562 ouros,,,,,,,,,,,
46,,1 875 ouros,,,,,,,,,,,
47,,2 500 ouros,,,,,,,,,,,
48,,1 500 ouros,,,,,,,,,,,
49,,1 875 ouros,,,,,,,,,,,
50,,2 250 ouros,,,,,,,,,,,
51,,3 000 ouros,,,,,,,,,,,
52,,Carpa mutante,As estranhas águas do esgoto transformaram esta carpa em uma monstruosidade.,1 000 ouros  1 250 ouros  1 500 ouros  2 000 ouros,1 250 ouros  1 562 ouros  1 875 ouros  2 500 ouros,1 500 ouros  1 875 ouros  2 250 ouros  3 000 ouros,Os Esgotos,Qualquer,Todas Estações,Qualquer,89-94,80 dardo,145.0
53,,1 000 ouros,,,,,,,,,,,
54,,1 250 ouros,,,,,,,,,,,
55,,1 500 ouros,,,,,,,,,,,
56,,2 000 ouros,,,,,,,,,,,
57,,1 250 ouros,,,,,,,,,,,
58,,1 562 ouros,,,,,,,,,,,
59,,1 875 ouros,,,,,,,,,,,
60,,2 500 ouros,,,,,,,,,,,
61,,1 500 ouros,,,,,,,,,,,
62,,1 875 ouros,,,,,,,,,,,
63,,2 250 ouros,,,,,,,,,,,
64,,3 000 ouros,,,,,,,,,,,
